-89.23999999999999,-34.6
-89.41,-35.19
-89.54000000000001,-35.77
-89.70999999999999,-36.36
-89.88,-36.95
-90.02,-37.53
-90.18000000000001,-38.12
-90.33,-38.7
-90.48999999999999,-39.29
-90.66,-39.88
-90.8,-40.46
-90.97,-41.05
-91.11,-41.64
-91.28,-42.22
-91.45,-42.81
-91.59999999999999,-43.4
-91.77,-43.98
-91.92,-44.57
-92.09,-45.16
-92.26000000000001,-45.74
-92.40000000000001,-46.33
-92.56999999999999,-46.91
-92.70999999999999,-47.5
-92.88,-48.09
-93.05,-48.67
-93.19,-49.26
-93.37,-49.85
-93.51000000000001,-50.43
-93.68000000000001,-51.02
-93.84999999999999,-51.61
-94.0,-52.19
-94.18000000000001,-52.78
-94.31999999999999,-53.37
-94.5,-53.95
-94.68000000000001,-54.54
-94.81999999999999,-55.12
-95.0,-55.71
-95.15000000000001,-56.3
-95.33,-56.88
-95.47,-57.47
-95.65000000000001,-58.06
-95.83,-58.64
-95.97,-59.23
-96.15000000000001,-59.82
-96.3,-60.4
-96.48,-60.99
-96.65000000000001,-61.58
-96.8,-62.16
-96.98,-62.75
-97.16,-63.33
-97.31,-63.92
-97.48,-64.51000000000001
-97.63,-65.09
-97.81,-65.68000000000001
-97.98999999999999,-66.27
-98.13,-66.84999999999999
-98.31,-67.44
-98.45999999999999,-68.03
-98.64,-68.61
-98.81999999999999,-69.2
-98.95999999999999,-69.79000000000001
-99.14,-70.37
-99.29000000000001,-70.95999999999999
-99.45999999999999,-71.54000000000001
-99.64,-72.13
-99.79000000000001,-72.72
-99.97,-73.3
-100.15,-73.89
-100.3,-74.48
-100.48,-75.06
-100.62,-75.65000000000001
-100.8,-76.23999999999999
-100.94,-76.81999999999999
-101.12,-77.41
-101.3,-78.0
-101.44,-78.58
-101.62,-79.17
-101.77,-79.75
-101.95,-80.34
-102.1,-80.93000000000001
-102.27,-81.51000000000001
-102.45,-82.09999999999999
-102.6,-82.69
-102.77,-83.27
-102.95,-83.86
-103.1,-84.45
-103.27,-85.03
-103.45,-85.62
-103.6,-86.20999999999999
-103.77,-86.79000000000001
-103.92,-87.38
-104.1,-87.95999999999999
-104.25,-88.55
-104.42,-89.14
-104.59,-89.72
-104.74,-90.31
-104.92,-90.90000000000001
-105.06,-91.48
-105.24,-92.06999999999999
-105.42,-92.66
-105.56,-93.23999999999999
-105.74,-93.83
-105.89,-94.42
-106.07,-95.0
-106.22,-95.59
-106.39,-96.17
-106.57,-96.76000000000001
-106.72,-97.34999999999999
-106.9,-97.93000000000001
-107.08,-98.52
-107.23,-99.11
-107.41,-99.69
-107.59,-100.28
-107.74,-100.87
-107.92,-101.45
-108.07,-102.04
-108.55,-102.63
-76.81999999999999,-97.12
-76.23999999999999,-97.11
-75.65000000000001,-97.06
-75.06,-97.0
-74.48,-97.01000000000001
-73.89,-97.04000000000001
-73.3,-97.06
-72.72,-97.09
-72.13,-97.12
-71.54000000000001,-97.14
-70.95999999999999,-97.17
-70.37,-97.19
-69.79000000000001,-97.23
-69.2,-97.26000000000001
-68.61,-97.28
-68.03,-97.31999999999999
-67.44,-97.34
-66.84999999999999,-97.37
-66.27,-97.40000000000001
-65.68000000000001,-97.42
-65.09,-97.45
-64.51000000000001,-97.48
-63.92,-97.5
-63.33,-97.53
-62.75,-97.55
-62.16,-97.56999999999999
-61.58,-97.59999999999999
-60.99,-97.62
-60.4,-97.64
-59.82,-97.67
-59.23,-97.69
-58.64,-97.72
-58.06,-97.75
-57.47,-97.77
-56.88,-97.8
-56.3,-97.81999999999999
-55.71,-97.84999999999999
-55.12,-97.87
-54.54,-97.90000000000001
-53.95,-97.92
-53.37,-97.95
-52.78,-97.98
-52.19,-98.0
-51.61,-98.03
-51.02,-98.05
-50.43,-98.08
-49.85,-98.09999999999999
-49.26,-98.13
-48.67,-98.16
-48.09,-98.19
-47.5,-98.22
-46.91,-98.23999999999999
-46.33,-98.27
-45.74,-98.3
-45.16,-98.31999999999999
-44.57,-98.34999999999999
-43.98,-98.38
-43.4,-98.41
-42.81,-98.43000000000001
-42.22,-98.45999999999999
-41.64,-98.48999999999999
-41.05,-98.51000000000001
-40.46,-98.53
-39.88,-98.56
-39.29,-98.58
-38.7,-98.61
-38.12,-98.63
-37.53,-98.66
-36.95,-98.68000000000001
-36.36,-98.70999999999999
-35.77,-98.73999999999999
-35.19,-98.77
-34.6,-98.8
-34.01,-98.81999999999999
-33.43,-98.84999999999999
-32.84,-98.88
-32.25,-98.91
-31.67,-98.94
-31.08,-98.97
-30.49,-98.98999999999999
-29.91,-99.03
-29.32,-99.05
-28.74,-99.09
-28.15,-99.12
-27.56,-99.14
-26.98,-99.18000000000001
-26.39,-99.2
-25.8,-99.23
-25.22,-99.25
-24.63,-99.28
-24.04,-99.31
-23.46,-99.34
-22.87,-99.36
-22.28,-99.39
-21.7,-99.42
-21.11,-99.45
-20.53,-99.48
-19.94,-99.5
-19.35,-99.53
-18.77,-99.56
-18.18,-99.59
-17.59,-99.62
-17.01,-99.65000000000001
-16.42,-99.69
-15.83,-99.72
-15.25,-99.76000000000001
-14.66,-99.8
-14.07,-99.84
-13.49,-99.88
-12.9,-99.92
-12.32,-99.95
-11.73,-99.98999999999999
-11.14,-100.02
-10.56,-100.06
-9.970000000000001,-100.09
-9.380000000000001,-100.13
-8.800000000000001,-100.17
-8.210000000000001,-100.2
-7.62,-100.24
-7.04,-100.28
-6.45,-100.32
-5.86,-100.36
-5.28,-100.39
-4.69,-100.43
-4.11,-100.47
-3.52,-100.5
-2.93,-100.54
-2.35,-100.58
-1.76,-100.61
-1.17,-100.65
-0.59,-100.69
-0.0,-100.73
0.59,-100.77
1.17,-100.81
1.76,-100.85
2.35,-100.89
2.93,-100.92
3.52,-100.97
4.11,-101.01
4.69,-101.04
5.28,-101.08
5.86,-101.11
6.45,-101.15
7.04,-101.19
7.62,-101.23
8.210000000000001,-101.26
8.800000000000001,-101.3
9.380000000000001,-101.34
9.970000000000001,-101.38
10.56,-101.41
